-42,62
-40,53
-38,51
-26,52
-26,3,53
-28,30,69
-3,21,70
-9,17,64
-25,16,60
-28,15,61
-34,15,59
-35,15,56
-31,13,51
-32,13,53
-30,13,55
-27,12,57
-27,11,58
-24,11,57
-23,10,57
-23,11,56
-24,11,57
-26,11,57
-27,12,56
-27,12,56
-27,13,57
-28,13,57
-28,14,57
-28,13,56
-27,12,56
-27,12,57
-27,11,57
-27,11,57
-28,11,57
-27,11,56
-28,10,55
-28,9,56
-28,9,56
-28,10,56
-28,12,57
-28,13,57
-28,13,56
-28,13,56
-27,13,57
-27,12,56
-27,12,56
-27,12,56
-27,13,56
-27,13,56
-27,13,56
-27,13,56
-26,13,56
-26,13,56
-26,14,56
-26,14,57
-26,14,56
-26,14,56
-26,14,57
-26,13,57
-26,13,57
-26,13,56
-27,13,56
-26,13,57
-25,13,57
-25,13,57
-26,13,57
-26,13,57
-26,14,56
-25,14,57
-25,14,57
-25,14,57
-26,14,57
-25,14,57
-25,14,57
-25,14,57
-25,13,57
-26,13,57
-25,14,57
-25,14,57
-25,14,57
-25,14,57
-25,14,57
-25,14,57
-25,14,57
-25,13,57
-25,13,57
-25,13,57
-25,13,57
-25,14,57
-25,13,57
-25,13,57
-26,13,57
-25,13,57
-25,13,57
-26,13,57
-25,12,57
-25,13,57
-26,13,57
-26,13,57
-26,13,57
-26,13,57
-25,13,57
-25,12,57
-25,12,57
-25,12,57
-25,12,56
-25,13,57
-25,14,57
-25,14,57
-25,14,57
-25,14,57
-25,15,57
-25,15,57
-25,14,57
-25,14,57
-25,14,57
-25,14,57
-25,14,57
-25,14,57
-25,14,57
-25,14,57
-25,14,57
-25,13,57
-25,13,57
-25,13,57
-25,14,57
-25,13,57
-25,13,57
-25,13,57
-25,13,57
-25,13,57
-25,13,57
-25,13,57
-25,13,57
-25,13,57
-25,13,57
-26,13,57
-26,13,57
-26,13,57
-26,12,57
-26,12,57
-26,12,57
-25,12,57
-25,12,57
-25,12,57
-26,12,57
-26,12,57
-26,12,57
-26,12,57
-26,12,57
-26,12,57
-26,12,57
-26,11,57
-26,12,57
-26,11,57
-26,11,57
-26,11,57
-26,11,57
-27,12,57
-26,12,57
-25,12,57
-25,12,57
-26,12,57
-26,12,57
-26,12,57
-26,12,57
-25,12,57
-25,12,57
-25,13,57
-26,12,57
-26,12,57
-25,12,57
-25,12,57
-25,13,57
-25,13,57
-25,13,57
-25,13,57
-25,13,57
-25,13,57
-25,13,57
-25,13,57
-26,13,57
-25,13,57
-25,13,57
-25,13,57
-25,13,57
-25,13,57
-25,13,57
-25,13,57
-25,14,57
-25,14,57
-25,14,57
-25,13,57
-25,13,56
-25,12,56
-25,11,57
-25,13,57
-24,16,58
-24,17,58
-25,17,57
-25,16,57
-24,14,58
-24,13,58
-23,12,57
-22,13,57
-23,13,57
-24,14,57
-24,14,57
-24,14,57
-24,15,57
-25,15,57
-24,15,57
